"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 11:33:44 GMT 2023","Wed Nov 22 11:33:49 GMT 2023","5456","Chrome","3. Page: Admin | Data Collection .spec.js","@Story: Template Configuration | Company Admin","","","@Test:C203 | Add New Template - (Blanc)",""
"passed","Wed Nov 22 11:42:20 GMT 2023","Wed Nov 22 11:42:25 GMT 2023","5227","Safari","2. Page: Administration.spec.js","@Story: User Administration","","","@Test:C203 | Deleting the new User",""
"passed","Wed Nov 22 11:50:38 GMT 2023","Wed Nov 22 11:50:44 GMT 2023","5810","Safari","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C200 | Successful Login Redirect",""
"passed","Wed Nov 22 11:49:27 GMT 2023","Wed Nov 22 11:49:33 GMT 2023","5951","Chrome","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C204 | Empty Email Field",""
"passed","Wed Nov 22 11:41:48 GMT 2023","Wed Nov 22 11:41:55 GMT 2023","6802","Chrome","2. Page: Administration.spec.js","@Story: User Administration","","","@Test:C203 | Deleting the new User",""
"passed","Wed Nov 22 11:50:38 GMT 2023","Wed Nov 22 11:50:42 GMT 2023","3956","Safari","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C199 | Inval@Test Password Error",""
"passed","Wed Nov 22 11:42:02 GMT 2023","Wed Nov 22 11:42:13 GMT 2023","11293","Chrome","2. Page: Administration.spec.js","@Story: Portfolio Company Users","","","@Test:C203 | Remove User",""
"passed","Wed Nov 22 11:49:42 GMT 2023","Wed Nov 22 11:49:47 GMT 2023","5126","Chrome","2. Page: Administration.spec.js","@Story: Tab | Template Configuration","","","@Test:C203 | Add New Template - (Cancel Button)",""
"passed","Wed Nov 22 11:50:03 GMT 2023","Wed Nov 22 11:50:07 GMT 2023","4012","Firefox","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Inviting a new User",""
"passed","Wed Nov 22 11:50:24 GMT 2023","Wed Nov 22 11:50:27 GMT 2023","3811","Firefox","2. Page: Administration.spec.js","@Story: Tab | Workflow Configuration","","","@Test:C203 | Example1",""
"passed","Wed Nov 22 11:41:57 GMT 2023","Wed Nov 22 11:42:07 GMT 2023","10040","Chrome","2. Page: Administration.spec.js","@Story: Workflow Configuration","","","@Test:C203 | Example2",""
"passed","Wed Nov 22 11:50:52 GMT 2023","Wed Nov 22 11:50:57 GMT 2023","4829","Safari","2. Page: Administration.spec.js","@Story: Tab | Template Configuration","","","@Test:C203 | Add New Template - (From Lantern Template)",""
"passed","Wed Nov 22 11:50:17 GMT 2023","Wed Nov 22 11:50:26 GMT 2023","8771","Firefox","2. Page: Administration.spec.js","@Story: Tab | Template Configuration","","","@Test:C203 | Add New Template - (Cancel Button)",""
"passed","Wed Nov 22 11:33:49 GMT 2023","Wed Nov 22 11:33:55 GMT 2023","6019","Chrome","3. Page: Admin | Data Collection .spec.js","@Story: Workflow Configuration | Company Admin","","","@Test:C203 | Example1",""
"passed","Wed Nov 22 11:33:37 GMT 2023","Wed Nov 22 11:33:45 GMT 2023","7642","Chrome","2. Page: Admin | Users.spec.js","@Story: User Administration","","","@Test:C203 | Inviting a new User",""
"passed","Wed Nov 22 11:50:25 GMT 2023","Wed Nov 22 11:50:33 GMT 2023","7587","Chrome","2. Page: Administration.spec.js","@Story: Tab | Portfolio Company Users","","","@Test:C203 | Remove User",""
"passed","Wed Nov 22 11:49:51 GMT 2023","Wed Nov 22 11:50:02 GMT 2023","10155","Firefox","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C205 | Empty Password Field",""
"passed","Wed Nov 22 11:50:44 GMT 2023","Wed Nov 22 11:50:49 GMT 2023","4844","Safari","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Editing the new User",""
"passed","Wed Nov 22 11:49:27 GMT 2023","Wed Nov 22 11:49:34 GMT 2023","6488","Chrome","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C205 | Empty Password Field",""
"passed","Wed Nov 22 11:50:49 GMT 2023","Wed Nov 22 11:50:54 GMT 2023","4931","Safari","2. Page: Administration.spec.js","@Story: Tab | Template Configuration","","","@Test:C203 | Add New Template - (Blanc)",""
"passed","Wed Nov 22 11:41:55 GMT 2023","Wed Nov 22 11:42:05 GMT 2023","10026","Chrome","2. Page: Administration.spec.js","@Story: Template Configuration","","","@Test:C203 | Add New Template - (Cancel Button)",""
"passed","Wed Nov 22 11:49:51 GMT 2023","Wed Nov 22 11:50:01 GMT 2023","10351","Firefox","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C204 | Empty Email Field",""
"passed","Wed Nov 22 11:50:11 GMT 2023","Wed Nov 22 11:50:17 GMT 2023","6126","Chrome","2. Page: Administration.spec.js","@Story: Tab | Users Administration","","","@Test:C203 | Inviting a new User",""
"passed","Wed Nov 22 11:49:33 GMT 2023","Wed Nov 22 11:49:40 GMT 2023","6130","Chrome","1. Page: Login.spec.js","@Story: Login Functionality","","","@Test:C200 | Successful Login Redirect",""
"passed","Wed Nov 22 11:33:37 GMT 2023","Wed Nov 22 11:33:44 GMT 2023","6677","Chrome","2. Page: Admin | Users.spec.js","@Story: User Administration","","","@Test:C203 | Editing the new User",""
